Web address,Site,Loads OK,Redirects to,Hidden from Google,Word count,Content amount,Other pages linking to it,In site menu,Links to broken pages,Nearly identical to,Similarity,Likely required (legal/compliance),"On enrollment, donation, or careers path",Mobile speed score (audited pages),Page size MB (audited pages),What the data suggests
https://uncommonschools.org/people/folusho-olawole/,uncommonschools.org,yes,,,297,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/samantha-haynes/,uncommonschools.org,yes,,,340,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/katherine-santana/,uncommonschools.org,yes,,,312,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/april-kirkland/,uncommonschools.org,yes,,,309,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/kayla-miller/,uncommonschools.org,yes,,,433,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/yarleny-andeliz/,uncommonschools.org,yes,,,802,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/annabella-adragna/,uncommonschools.org,yes,,,729,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/julissa-palmero/,uncommonschools.org,yes,,,555,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/julissa-coplin/,uncommonschools.org,yes,,,382,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/jessica-rosado/,uncommonschools.org,yes,,,268,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/michael-blake/,uncommonschools.org,yes,,,138,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/chief-operating-officer/,uncommonschools.org,yes,,,118,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/jennifer-consilvio/,uncommonschools.org,yes,,,213,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/art-worrell/,uncommonschools.org,yes,,,194,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/john-powell/,uncommonschools.org,yes,,,125,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/katie-abrams-mcnickle/,uncommonschools.org,yes,,,18,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/ward-dillon/,uncommonschools.org,yes,,,16,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/naliaka-wakhisi/,uncommonschools.org,yes,,,16,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/chantaya-king/,uncommonschools.org,yes,,,663,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/jovan-tyler-graham/,uncommonschools.org,yes,,,234,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/kelith-appolon/,uncommonschools.org,yes,,,207,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/joselyn-quinsa/,uncommonschools.org,yes,,,200,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/amari-glover/,uncommonschools.org,yes,,,637,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/jahneyce-washington/,uncommonschools.org,yes,,,159,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/adiatu-jalloh/,uncommonschools.org,yes,,,428,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/christina-anglin/,uncommonschools.org,yes,,,633,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/tianna-elliott/,uncommonschools.org,yes,,,254,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/nosagiegbon-igiede/,uncommonschools.org,yes,,,255,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/zavier-perez/,uncommonschools.org,yes,,,264,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/patrick-rametti/,uncommonschools.org,yes,,,140,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/alison-washabaugh/,uncommonschools.org,yes,,,121,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/najee-carter/,uncommonschools.org,yes,,,122,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/taijuan-ferrell/,uncommonschools.org,yes,,,248,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/ahshar-brown/,uncommonschools.org,yes,,,452,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/nardelle-thelus/,uncommonschools.org,yes,,,231,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/danfernee-cush/,uncommonschools.org,yes,,,301,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/shana-pyatt/,uncommonschools.org,yes,,,127,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/laura-fern/,uncommonschools.org,yes,,,64,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/nastasjia-burke/,uncommonschools.org,yes,,,281,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/gigi-gebre-giorgis/,uncommonschools.org,yes,,,339,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/omotola-akinsiku/,uncommonschools.org,yes,,,333,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/rashaud-barrow/,uncommonschools.org,yes,,,263,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/mackenzie-morrison/,uncommonschools.org,yes,,,258,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/zaccheus-greene/,uncommonschools.org,yes,,,256,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/brielle-velez/,uncommonschools.org,yes,,,496,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/mekhi-addison/,uncommonschools.org,yes,,,332,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/dariela-morrobel-villar/,uncommonschools.org,yes,,,341,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/ashton-coppin/,uncommonschools.org,yes,,,163,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/cynthia-leger/,uncommonschools.org,yes,,,161,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/paul-bambrick-santoyo/,uncommonschools.org,yes,,,222,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/morayo-faleyimu/,uncommonschools.org,yes,,,16,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/rachel-decima/,uncommonschools.org,yes,,,16,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/lizzie-garson/,uncommonschools.org,yes,,,16,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/marvin-jaquez/,uncommonschools.org,yes,,,752,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/anthony-morocho-and-johnatan-cuenca/,uncommonschools.org,yes,,,538,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/barbara-douglas-lindo/,uncommonschools.org,yes,,,922,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/selene-bourne/,uncommonschools.org,yes,,,507,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/theodora-hoegah/,uncommonschools.org,yes,,,401,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/daniel-danquah/,uncommonschools.org,yes,,,179,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/jasmine-bastien/,uncommonschools.org,yes,,,307,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/joshua-gomes/,uncommonschools.org,yes,,,319,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/habibatou-koureichi/,uncommonschools.org,yes,,,220,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/malaki-cuevas/,uncommonschools.org,yes,,,305,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/deena-brown/,uncommonschools.org,yes,,,208,loads by script (not readable here),2,,0,,,,,,,
https://uncommonschools.org/people/uncommon-schools-staff/,uncommonschools.org,yes,,,18,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/people/brett-peiser/,uncommonschools.org,yes,,,122,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/julie-jackson-2/,uncommonschools.org,yes,,,254,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/juliana-worrell/,uncommonschools.org,yes,,,315,loads by script (not readable here),1,,0,,,,,,,
https://uncommonschools.org/people/alex-bronson/,uncommonschools.org,yes,,,16,loads by script (not readable here),0,,0,,,,,,,
https://uncommonschools.org/,uncommonschools.org,yes,,,341,ok,13,yes,0,https://uncommonschools.org/homepage-2/,88%,,,55,17.1,
https://uncommonschools.org/find-a-school/,uncommonschools.org,yes,,,15,very thin,1,yes,0,,,,yes,,,
https://uncommonschools.org/3002-2/,uncommonschools.org,yes,,,14,very thin,0,,0,,,,,,,Almost no content and nothing links to it: likely remove
https://uncommonschools.org/roxbury-prep-enrollment/,uncommonschools.org,redirects,https://roxburyprep.uncommonschools.org/enroll/,,1315,ok,0,,0,https://roxburyprep.uncommonschools.org/enroll/,100%,,yes,,,Address changed: update links pointing here
https://uncommonschools.org/nyc-school-tours/,uncommonschools.org,yes,,,460,ok,0,,0,,,,,,,
https://uncommonschools.org/uncommon-leadership-charter-high-school/,uncommonschools.org,yes,,,336,ok,1,,0,,,,,,,
https://uncommonschools.org/uncommon-nyc-handbooks/,uncommonschools.org,redirects,https://nyc.uncommonschools.org/family-resources/,,486,ok,0,,0,https://nyc.uncommonschools.org/family-resources/,100%,,,,,Address changed: update links pointing here
https://uncommonschools.org/newyorkcity-enrollment-spanish/,uncommonschools.org,redirects,https://nyc.uncommonschools.org/es/enroll-esp/,,1594,ok,0,,0,https://nyc.uncommonschools.org/enroll-spanish/,100%,,yes,,,Address changed: update links pointing here
https://uncommonschools.org/teaching-at-uncommon/,uncommonschools.org,yes,,,56,very thin,0,,0,,,,,,,Almost no content and nothing links to it: likely remove
https://uncommonschools.org/news/,uncommonschools.org,yes,,,15,very thin,0,yes,0,,,,,,,
https://uncommonschools.org/new-york-city-enrollment/,uncommonschools.org,redirects,https://nyc.uncommonschools.org/enroll/,,941,ok,1,,0,https://nyc.uncommonschools.org/enroll/,100%,,yes,,,Address changed: update links pointing here
https://uncommonschools.org/nyc-enrollment/,uncommonschools.org,yes,,,131,thin,0,,0,,,,yes,,,
https://uncommonschools.org/nyc-enrollment-confirm/,uncommonschools.org,yes,,,124,thin,0,,0,,,,yes,,,
https://uncommonschools.org/teach-at-uncommon-schools/,uncommonschools.org,yes,,,376,ok,0,,0,,,,,,,
https://uncommonschools.org/apprentice-teachers/,uncommonschools.org,yes,,,387,ok,0,,0,,,,,,,
https://uncommonschools.org/standard-page/,uncommonschools.org,yes,,,1937,ok,0,,0,,,,,,,
https://uncommonschools.org/teach-at-uncommon-schools-ps/,uncommonschools.org,yes,,,188,thin,0,,0,,,,,,,
https://uncommonschools.org/subscribe-to-uncommon-sense/,uncommonschools.org,yes,,,300,ok,22,,0,,,,,,,
https://uncommonschools.org/careers/thank-you/,uncommonschools.org,yes,,,122,thin,0,,0,,,,yes,,,
https://uncommonschools.org/i3-evaluation/,uncommonschools.org,yes,,,328,ok,0,,0,,,,,,,
https://uncommonschools.org/school-operations/,uncommonschools.org,yes,,,288,ok,2,,0,,,,,,,
https://uncommonschools.org/faq/,uncommonschools.org,yes,,,614,ok,1,yes,0,https://nyc.uncommonschools.org/what-is-a-charter-school/,70%,,,65,2.0,
https://uncommonschools.org/ready4k/,uncommonschools.org,yes,,,255,ok,0,,0,,,,,,,
https://uncommonschools.org/health-and-safety-policies/,uncommonschools.org,yes,,,281,ok,0,,0,,,yes,,,,
https://uncommonschools.org/our-schools/uncommon-new-york-city-schools/,uncommonschools.org,no response,,,,,1,,0,,,,,,,
https://uncommonschools.org/uncommon-sense-faq/,uncommonschools.org,yes,,,449,ok,0,,0,https://uncommonschools.org/uncommon-sense/frequently-asked-questions/,100%,,,,,Nearly identical to another page: consider consolidating
https://uncommonschools.org/sms/,uncommonschools.org,yes,,,150,thin,1,,0,,,,,,,
https://uncommonschools.org/world-autism-day/,uncommonschools.org,yes,,,480,ok,0,,0,,,,,,,
https://uncommonschools.org/the-student-experience/,uncommonschools.org,yes,,,468,ok,3,yes,0,,,,,,,
https://uncommonschools.org/vote/,uncommonschools.org,yes,,,354,ok,1,,0,,,,,,,
https://uncommonschools.org/ada-notice/,uncommonschools.org,yes,,,91,very thin,0,yes,0,,,yes,,,,
https://uncommonschools.org/kellyclarksonshow/,uncommonschools.org,yes,,,293,ok,0,,0,,,,,,,
https://uncommonschools.org/data-privacy-notice/,uncommonschools.org,yes,,,630,ok,1,yes,0,,,yes,,,,
https://uncommonschools.org/uncommon-schools-student-data-privacy-notice/,uncommonschools.org,yes,,,60,very thin,0,yes,0,https://nyc.uncommonschools.org/student-data-privacy-notice/,87%,yes,,,,
https://uncommonschools.org/results-2-2/,uncommonschools.org,yes,,,624,ok,0,,0,,,,,,,
https://uncommonschools.org/enroll-1/,uncommonschools.org,redirects,https://uncommonschools.org/enroll/,,44,very thin,0,yes,0,https://uncommonschools.org/enroll/,100%,,yes,,,Address changed: update links pointing here
https://uncommonschools.org/north-star-on-gma/,uncommonschools.org,yes,,,185,thin,0,,0,https://uncommonschools.org/northstar-gma/,98%,,,,,Nearly identical to another page: consider consolidating
https://uncommonschools.org/northstar-gma/,uncommonschools.org,yes,,,181,thin,0,,0,https://uncommonschools.org/north-star-on-gma/,98%,,,,,Nearly identical to another page: consider consolidating
https://uncommonschools.org/ea-newsletter/,uncommonschools.org,yes,,,67,very thin,0,,0,,,,,,,Almost no content and nothing links to it: likely remove
https://uncommonschools.org/progressive-pathways-resources/,uncommonschools.org,redirects,https://airtable.com/appQmOIqJM5h3hLo1/shrqbOjR600xh4elG/tblvDgwNaXISOL0S0,yes,18,very thin,0,,0,,,,,,,Address changed: update links pointing here
https://uncommonschools.org/enroll/,uncommonschools.org,yes,,,44,very thin,5,yes,0,https://uncommonschools.org/enroll-1/,100%,,yes,66,2.8,
https://uncommonschools.org/sharing-our-practices/,uncommonschools.org,yes,,,414,ok,10,yes,0,,,,,,,
https://uncommonschools.org/gma/,uncommonschools.org,yes,,,266,ok,3,,0,,,,,,,
https://uncommonschools.org/what-matters-in-math/,uncommonschools.org,yes,,,922,ok,0,,0,https://uncommonschools.org/uncommon-sense/teaching-what-really-matters-in-math/,78%,,,,,
https://uncommonschools.org/alumni-impact-contact-us/,uncommonschools.org,yes,,,83,very thin,8,,0,,,,,,,
https://uncommonschools.org/subscribe-to-uncommon-alumni-newsletters/,uncommonschools.org,yes,,,222,thin,8,,0,,,,,,,
https://uncommonschools.org/mobile-terms-and-conditions/,uncommonschools.org,yes,,,300,ok,1,,0,,,,,,,
https://uncommonschools.org/mobile-keyword-cta/,uncommonschools.org,yes,,,76,very thin,0,,0,,,,,,,Almost no content and nothing links to it: likely remove
https://uncommonschools.org/alumni-events/,uncommonschools.org,yes,,,352,ok,1,,0,,,,,,,
https://uncommonschools.org/donation-failed/,uncommonschools.org,yes,,,14,very thin,0,,0,,,,yes,,,
https://uncommonschools.org/donation-confirmation/,uncommonschools.org,yes,,,14,very thin,0,,0,,,,yes,,,
https://uncommonschools.org/donor-dashboard/,uncommonschools.org,yes,,,14,very thin,0,,0,,,,yes,,,
